Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,blue-leaf1,Ethernet47,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet48,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet51/1,spine,blue-spine1,Ethernet1/1,True
leaf,blue-leaf1,Ethernet52/1,spine,blue-spine1,Ethernet1/2,True
leaf,blue-leaf2,Ethernet1,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet2,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet3,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet4,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet5,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet6,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet7,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet8,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet9,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet10,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet11,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet12,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet13,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet14,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet15,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet16,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet17,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet18,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet19,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet20,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet21,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet22,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet23,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet24,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet25,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet26,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet27,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet28,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet29,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet30,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet31,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet32,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet33,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet34,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet35,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet36,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet37,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet38,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet39,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet40,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet41,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet42,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet43,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet44,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet45,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet46,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet47,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet48,network_port,MEDIA,,True
leaf,blue-leaf2,Ethernet51/1,spine,blue-spine1,Ethernet1/3,True
leaf,blue-leaf2,Ethernet52/1,spine,blue-spine1,Ethernet1/4,True
leaf,blue-leaf3,Ethernet1,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet2,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet3,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet4,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet5,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet6,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet7,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet8,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet9,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet10,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet11,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet12,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet13,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet14,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet15,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet16,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet17,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet18,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet19,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet20,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet21,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet22,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet23,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet24,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet25,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet26,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet27,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet28,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet29,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet30,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet31,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet32,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet33,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet34,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet35,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet36,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet37,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet38,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet39,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet40,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet41,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet42,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet43,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet44,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet45,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet46,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet47,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet48,network_port,MEDIA,,True
leaf,blue-leaf3,Ethernet51/1,spine,blue-spine1,Ethernet3/1,True
leaf,blue-leaf3,Ethernet52/1,spine,blue-spine1,Ethernet4/1,True
leaf,blue-leaf4,Ethernet1,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet2,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet3,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet4,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet5,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet6,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet7,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet8,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet9,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet10,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet11,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet12,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet13,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet14,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet15,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet16,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet17,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet18,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet19,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet20,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet21,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet22,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet23,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet24,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet25,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet26,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet27,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet28,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet29,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet30,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet31,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet32,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet33,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet34,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet35,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet36,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet37,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet38,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet39,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet40,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet41,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet42,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet43,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet44,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet45,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet46,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet47,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet48,network_port,MEDIA,,True
leaf,blue-leaf4,Ethernet51/1,spine,blue-spine1,Ethernet5/1,True
leaf,blue-leaf4,Ethernet52/1,spine,blue-spine1,Ethernet6/1,True
spine,blue-spine1,Ethernet1/1,leaf,blue-leaf1,Ethernet51/1,True
spine,blue-spine1,Ethernet1/2,leaf,blue-leaf1,Ethernet52/1,True
spine,blue-spine1,Ethernet1/3,leaf,blue-leaf2,Ethernet51/1,True
spine,blue-spine1,Ethernet1/4,leaf,blue-leaf2,Ethernet52/1,True
spine,blue-spine1,Ethernet3/1,leaf,blue-leaf3,Ethernet51/1,True
spine,blue-spine1,Ethernet4/1,leaf,blue-leaf3,Ethernet52/1,True
spine,blue-spine1,Ethernet5/1,leaf,blue-leaf4,Ethernet51/1,True
spine,blue-spine1,Ethernet6/1,leaf,blue-leaf4,Ethernet52/1,True
